item_1,business,3
ITEM 1A.,RISK FACTORS,16.0
ITEM 1B.,UNRESOLVED STAFF COMMENTS,31.0
ITEM 1C.,CYBERSECURITY,32.0
ITEM 2.,PROPERTIES,32.0
ITEM 3.,LEGAL PROCEEDINGS,33.0
ITEM 4.,MINE SAFETY DISCLOSURES,33.0
,,
PART II.,,
ITEM 5.,"MARKET FOR REGISTRANT’S COMMON EQUITY RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY
SECURITIES",34.0
ITEM 6.,[RESERVED],35.0
ITEM 7.,MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS,36.0
ITEM 7A.,QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK,47.0
ITEM 8.,FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA,49.0
ITEM 9.,CHANGES IN AND DISAGREEMENTS WITH ACCOUNTANTS ON ACCOUNTING AND FINANCIAL DISCLOSURE,92.0
ITEM 9A.,CONTROLS AND PROCEDURES,92.0
ITEM 9B.,OTHER INFORMATION,93.0
ITEM 9C.,DISCLOSURE REGARDING FOREIGN JURISDICTIONS THAT PREVENT INSPECTIONS,93.0
,,
PART III.,,
ITEM 10.,DIRECTORS EXECUTIVE OFFICERS AND CORPORATE GOVERNANCE,94.0
ITEM 11.,EXECUTIVE COMPENSATION,94.0
ITEM 12.,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT AND RELATED STOCKHOLDER MATTERS,94.0
ITEM 13.,CERTAIN RELATIONSHIPS AND RELATED TRANSACTIONS AND DIRECTOR INDEPENDENCE,94.0
ITEM 14.,PRINCIPAL ACCOUNTANT FEES AND SERVICES,94.0
,,
PART IV.,,
ITEM 15.,EXHIBITS AND FINANCIAL STATEMENT SCHEDULES,95.0
ITEM 16.,FORM 10-K SUMMARY,101.0
SIGNATURES,,102.0
