other_comprehensive_income_loss,,none,_2,none_1,_4,none_2
Change in foreign currency translation net of tax,-267,,395,,-765,
,,,,,,
Change in unrealized gains/losses on derivative instruments net of tax:,,,,,,
Change in fair value of derivative instruments,849,,-832,,323,
Adjustment for net (gains)/losses realized and included in net income,-212,,-1337,,-1717,
Total change in unrealized gains/losses on derivative instruments,637,,-2169,,-1394,
,,,,,,
Change in unrealized gains/losses on marketable debt securities net of tax:,,,,,,
Change in fair value of marketable debt securities,817,,5850,,1563,
Adjustment for net (gains)/losses realized and included in net income,414,,204,,253,
Total change in unrealized gains/losses on marketable debt securities,1231,,6054,,1816,
,,,,,,
Total other comprehensive income/(loss),1601,,4280,,-343,
Total comprehensive income,$,113611.0,$,98016.0,$,96652.0
