,_1,none,_3,none_1,_5,none_2
Common stock and additional paid-in capital:,,,,,,
Beginning balances,83276,,73812,,64849,
Common stock issued,1498,,1423,,1346,
Common stock withheld related to net share settlement of equity awards,-4452,,-3993,,-3521,
Share-based compensation,13246,,12034,,11138,
Ending balances,93568,,83276,,73812,
,,,,,,
Accumulated deficit:,,,,,,
Beginning balances,-19154,,-214,,-3068,
Net income,112010,,93736,,96995,
Dividends and dividend equivalents declared,-15413,,-15218,,-14996,
Common stock withheld related to net share settlement of equity awards,-1655,,-1612,,-2099,
Common stock repurchased,-90052,,-95846,,-77046,
Ending balances,-14264,,-19154,,-214,
,,,,,,
Accumulated other comprehensive loss:,,,,,,
Beginning balances,-7172,,-11452,,-11109,
Other comprehensive income/(loss),1601,,4280,,-343,
Ending balances,-5571,,-7172,,-11452,
,,,,,,
Total shareholders’ equity ending balances,$,73733.0,$,56950.0,$,62146.0
,,,,,,
Dividends and dividend equivalents declared per share or RSU,$,1.02,$,0.98,$,0.94
