level_1,,none,_1,none_1,_2,none_2,_3,none_3,_4,none_4,_6,none_5,_8,none_6
Money market funds,778,,—,,—,,778,,778,,—,,—,
Mutual funds,515,,105,,-3,,617,,—,,617,,—,
Subtotal,1293,,105,,-3,,1395,,778,,617,,—,
Level 2 (1):,,,,,,,,,,,,,,
U.S. Treasury securities,16150,,45,,-516,,15679,,212,,4087,,11380,
U.S. agency securities,5431,,—,,-272,,5159,,155,,703,,4301,
Non-U.S. government securities,17959,,93,,-484,,17568,,1158,,10810,,5600,
Certificates of deposit and time deposits,873,,—,,—,,873,,387,,478,,8,
Commercial paper,1066,,—,,—,,1066,,28,,1038,,—,
Corporate debt securities,65622,,270,,-1953,,63939,,26,,16027,,47886,
Municipal securities,412,,—,,-7,,405,,—,,190,,215,
Mortgage- and asset-backed securities,24595,,175,,-1403,,23367,,—,,1278,,22089,
Subtotal,132108,,583,,-4635,,128056,,1966,,34611,,91479,
Total (2)(3),$,160600.0,$,688.0,$,-4638.0,$,156650.0,$,29943.0,$,35228.0,$,91479.0
