capitalized_research_and_development,,15_041,_2,10_739
Tax credit carryforwards,8643,,8856,
Accrued liabilities and other reserves,6154,,6114,
Deferred revenue,2953,,3413,
Lease liabilities,2577,,2410,
Other,3049,,3341,
Total deferred tax assets,38417,,34873,
Less: Valuation allowance,-10966,,-8866,
Total deferred tax assets net,27451,,26007,
Deferred tax liabilities:,,,,
Depreciation,3276,,2551,
Right-of-use assets,2300,,2125,
Minimum tax on foreign earnings,1217,,1674,
Other,678,,455,
Total deferred tax liabilities,7471,,6805,
Net deferred tax assets,$,19980.0,$,19202.0
