apple_asia_llc,delaware_u_s
Apple Canada Inc.,Canada
Apple Computer Trading (Shanghai) Co. Ltd.,China
Apple Distribution International Limited,Ireland
Apple India Private Limited,India
Apple Insurance Company Inc.,Arizona U.S.
Apple Japan Inc.,Japan
Apple Korea Limited,South Korea
Apple Operations International Limited,Ireland
Apple Operations Limited,Ireland
Apple Operations Mexico S.A. de C.V.,Mexico
Apple Pty Limited,Australia
Apple Services Pte. Ltd.,Singapore
Apple South Asia (Thailand) Limited,Thailand
Apple South Asia Pte. Ltd.,Singapore
Apple Vietnam Limited Liability Company,Vietnam
Braeburn Capital Inc.,Nevada U.S.
iTunes K.K.,Japan
