,_1,_2,_3,_4,19_219
GBP 600,0.63%,0.75%,2021–2025,(a),680
GBP 400,1.38%,1.46%,2021–2033,(a),450
USD 300,1.13%,1.19%,2021–2026,,271
USD 1 500,0.61%,0.66%,2021–2024,(b),—
USD 1 000,1.50%,1.58%,2021–2028,(b),901
USD 1 000,1.88%,1.91%,2021–2031,(b),902
USD 500,2.50%,2.55%,2021–2041,(b),449
USD 500,1.15%,1.22%,2021–2027,(b),451
USD 500,2.63%,2.69%,2021–2051,(b),446
CAD 2 000,2.19%,2.23%,2021–2029,(a),1 257
GBP 300,2.13%,2.25%,2022–2027,(a),339
GBP 600,2.50%,2.53%,2022–2032,(a),679
USD 750,4.00%,4.07%,2022–2025,(b),677
USD 500,4.13%,4.20%,2022–2027,(b),451
USD 500,4.25%,4.31%,2022–2029,(b),451
USD 1 250,4.30%,4.38%,2022–2032,(b),1 124
USD 1 000,4.70%,4.76%,2022–2053,(b),895
USD 1 000,5.25%,5.32%,2023–2026,(b),903
USD 850,5.00%,5.06%,2023–2028,(b),767
USD 500,4.95%,5.01%,2023–2030,(b),451
USD 650,4.85%,4.90%,2023–2033,(b),585
USD 500,5.00%,5.06%,2023–2028,(b),451
USD 500,5.00%,5.10%,2023–2030,(b),450
USD 500,5.00%,5.09%,2023–2033,(b),449
GBP 400,5.25%,5.39%,2023–2026,(a),453
GBP 400,5.13%,5.28%,2023–2032,(a),450
EUR 500,0.38%,0.54%,2017–2024,,—
EUR 750,1.25%,1.32%,2017–2029,,703
EUR 750,1.75%,1.83%,2017–2037,,699
EUR 1 000,1.13%,1.27%,2020–2026,,939
EUR 1 000,1.50%,1.63%,2020–2030,,935
EUR 850,0.13%,0.25%,2020–2027,,797
EUR 650,0.00%,0.05%,2020–2024,,—
EUR 1 000,0.38%,0.56%,2020–2032,,928
EUR 500,0.00%,(0.26%),2020–2025,,472
EUR 500,0.00%,0.16%,2020–2033,,464
EUR 500,0.38%,0.40%,2020–2040,,469
EUR 1 250,0.00%,(0.00%),2021–2026,,1 176
EUR 750,0.25%,0.32%,2021–2029,,704
,,,,,42 887
