,_1,_2,_3,42_887
EUR 500,0.63%,0.69%,2021–2034,468
EUR 650,0.88%,1.01%,2021–2041,599
EUR 600,0.88%,0.95%,2022–2027,564
EUR 600,1.25%,1.33%,2022–2031,562
EUR 800,1.50%,1.63%,2022–2035,743
EUR 500,3.00%,3.13%,2022–2028,468
EUR 500,3.25%,3.38%,2022–2031,467
EUR 500,3.38%,3.49%,2022–2034,466
EUR 850,3.50%,3.66%,2023–2027,796
EUR 850,3.75%,3.85%,2023–2033,794
EUR 500,3.50%,3.56%,2023–2030,469
EUR 500,3.75%,3.84%,2023–2035,467
GBP 400,5.13%,5.16%,2023–2038,452
EUR 750,3.00%,3.08%,2024–2031,703
EUR 750,3.25%,3.40%,2024–2037,695
EUR 500,2.63%,2.77%,2024–2030,467
EUR 650,3.13%,3.20%,2024–2036,607
HUF 115 000,1.75%,1.53%,2021–2028,265
,,,,49
,,,,52 988
,,,,3 848
,,,,49 140
,,,,
,,,,50 511
