erahs_latipac,yrusaert_serahs,noitalsnart_evreser,sevreser_rehto,deniater_sgninrae,ot_sredloherahs_tnerap_ytiuqe_elbatubirtta_eht_latot_fo,gnillortnoc_non_stseretni,none
,,,,,,,
275,(9 303),(23 559),-63,74 632,41 982,810,42 792
,,,,,,,
—,—,—,—,11 209,11 209,300,11 509
—,—,(4 022),-11,-499,(4 532),-125,(4 657)
—,—,(4 022),-11,10 710,6 677,175,6 852
,,,,,,,
—,—,—,—,(7 829),(7 829),-323,(8 152)
—,(5 142),—,—,6,(5 136),—,(5 136)
—,154,—,—,-2,152,—,152
—,—,—,—,-55,-55,-15,-70
-8,9 136,—,—,(9 128),—,—,—
-8,4 148,—,—,(17 008),(12 868),-338,(13 206)
,,,,,,,
—,—,—,24,-73,-49,-2,-51
,,,,,,,
267,(5 155),(27 581),-50,68 261,35 742,645,36 387
,,,,,,,
267,(5 155),(27 581),-50,68 261,35 742,645,36 387
,,,,,,,
—,—,—,—,10 884,10 884,290,11 174
—,—,793,894,579,2 266,17,2 283
—,—,793,894,11 463,13 150,307,13 457
,,,,,,,
—,—,—,—,(7 816),(7 816),-174,(7 990)
—,(4 544),—,—,-15,(4 559),—,(4 559)
—,151,—,—,-19,132,—,132
—,—,—,—,-181,-181,-3,-184
-5,5 265,—,—,(5 260),—,—,—
-5,872,—,—,(13 291),(12 424),-177,(12 601)
,,,,,,,
—,—,—,-481,-70,-551,1,-550
,,,,,,,
262,(4 283),(26 788),363,66 363,35 917,776,36 693
