tnalp_tnempiuqe_ytreporp_dna,stessa_dna_elbignatni_lliwdoog,stfieneb_eeyolpme,rehto_latipac_dna_snoisivorp_gnikrow,dna_sessol_stiderc_xat_xat_desunu_desunu,none
(1 215),(1 888),265,820.0,313,(1 705)
-60,-162,11,-45.0,-3,-259
-88,-488,62,-60.0,-64,-638
-36,—,-52,-83.0,—,-171
—,-3,—,2.0,2,1
(1 399),(2 541),286,634.0,248,(2 772)
,,,,,
(1 319),(2 526),378,608.0,231,(2 628)
107,276,-39,-177.0,-19,148
-3,360,-236,289.0,111,521
—,—,162,101.0,—,263
—,2,—,-1.0,-10,-9
(1 215),(1 888),265,820.0,313,(1 705)
