noitalsnart_evreser,gnigdeh_sevreser,dna_setaicossa_serutnev_sevreser_tnioj_fo,deniater_sgninrae,ot_sredloherahs_tnerap_ytiuqe_elbatubirtta_eht_latot_fo,gnillortnoc_non_stseretni,none
,,,,,,
523,-16,—,—,507,10,517
176,—,—,—,176,—,176
94,—,—,—,94,11,105
793,-16,—,—,777,21,798
,,,,,,
—,—,—,38,38,—,38
—,—,—,-5,-5,—,-5
—,—,—,33,33,—,33
,,,,,,
—,1 163,—,—,1 163,-1,1 162
—,13,—,—,13,—,13
—,-280,—,—,-280,—,-280
—,896,—,—,896,-1,895
,,,,,,
—,—,—,374,374,-3,371
—,—,—,-53,-53,—,-53
—,—,—,321,321,-3,318
,,,,,,
—,—,14,225,239,—,239
—,—,—,—,—,—,—
—,—,14,225,239,—,239
,,,,,,
793,880,14,579,2 266,17,2 283
