none,,_1,_3,_4,none_1
,,,,,
,NiM,Podgorica,100%,EUR,
,,,,,
,,,,,
,,Almere,100%,EUR,
,,Amsterdam,100%,EUR,
,,Amsterdam,100%,EUR,
,,,,,
,,,,,
,,Bærum,100%,NOK,
,,,,,
,,,,,
,,Warszawa,100%,PLN,
,,Nowa Wieś Wroclawska,100%,PLN,
Cereal Partners Poland Torun-Pacific Sp. Z o.o.,1),Toruń,50%,PLN,14 572 838
,,,,,
,,,,,
,,Oeiras,100%,EUR,
,,,,,
,,,,,
,,Bucharest,100%,RON,
,,,,,
,,,,,
,,Timashevsk,100%,RUB,
,,Moscow,100%,RUB,
,,,,,
,,,,,
,,Beograd-Surcin,100%,RSD,
,,,,,
,,,,,
,,Prievidza,100%,EUR,
,,,,,
,,,,,
,NiM,Ljubljana,100%,EUR,
,,,,,
,,,,,
,,Esplugues de Llobregat,100%,EUR,
,,Esplugues de Llobregat,100%,EUR,
,,Castellbisbal,100%,EUR,
Herta Foods S.L.,3),Gurb,40%,EUR,489 113 988
,,,,,
,,,,,
,,Helsingborg,100%,SEK,
