none,,_1,_2,_3,_4,none_1
,,,,,,
,NiM,Guaynabo,,100%,USD,
,,,,,,
,,,,,,
,,Valsayn,,100%,USD,
,,Valsayn,,100%,TTD,
,,,,,,
,,,,,,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Fremont (Michigan),,100%,USD,
,,Stafford (Texas),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,◊,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,St. Louis (Missouri),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,51%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Wilmington (Delaware),,100%,USD,
,,Dover (Delaware),,100%,USD,
JustForFoodDogs Inc.,3),Irvine (California),,28.6%,USD,1 127
Sous Chef TopCo L.P.,3),Greenwich (Connecticut),,45.5%,USD,0
,,,,,,
,,,,,,
,,Montevideo,,100%,UYU,
,,,,,,
,,,,,,
,,Caracas,25%,100%,VES,
