,_1,_2,_3,_4
,,,,
°,Bulacan,100%,100%,PHP
,Cabuyao,,100%,PHP
,Makati City,,100%,PHP
,,,,
,,,,
,Doha,49%,49%,QAR
,,,,
,,,,
,Riyadh,,90%,SAR
,Jeddah,100%,100%,SAR
,Jeddah,,75%,SAR
,,,,
,,,,
,Singapore,,100%,SGD
◊,Singapore,,100%,"JPY
SGD"
,Singapore,,100%,SGD
,,,,
,,,,
,Colombo,100%,100%,LKR
,,,,
,,,,
NiM,Damascus,,100%,SYP
,,,,
,,,,
,Bangkok,<0.1%,100%,THB
°,Bangkok,<0.1%,100%,THB
,Bangkok,,100%,THB
,Bangkok,30%,50%,THB
,,,,
,,,,
,Dubai,,100%,AED
,Dubai,,100%,AED
,Dubai,,49%,AED
◊,Dubai,,100%,USD
,Dubai,,49%,AED
,Dubai,,51%,AED
,,,,
,,,,
,Tashkent,<0.1%,100%,UZS
,,,,
,,,,
,Long An,,65%,USD
,Bien Hoa,100%,100%,KVND
