1,2,3
2022,2021,2020
,,
94 424,87 088,84 343
16 103,15 119,14 903
17.1%,17.4%,17.7%
13 195,12 159,14 233
14.0%,14.0%,16.9%
2 730,2 261,3 365
9 270,16 905,12 232
9.8%,19.4%,14.5%
7 829,7 618,7 681
3 097,3 056,3 127
,,
,,
35 062,39 257,34 068
100 120,99 885,89 960
135 182,139 142,124 028
39 976,40 020,39 722
52 414,45 395,37 792
42 792,53 727,46 514
48 159,32 917,31 319
112.5%,61.3%,67.3%
11 907,13 864,14 377
24.7%,42.1%,45.9%
6 570,8 715,10 245
8 264,12 977,11 367
8.8%,14.9%,13.5%
,,
,,
2 707,2 788,2 845
3.42,6.06,4.30
4.80,4.42,4.21
2.95,2.80,2.75
86.3%,46.2%,64.0%
129.50,128.90,112.62
104.98,95.00,83.37
2.3/2.8,2.2/2.9,2.4/3.3
,,
285 865,351 682,293 644
,,
275,276,273
