chf_900,0_25,0_26,2018_2024,
CHF 600,0.75%,0.69%,2018–2028,601
CHF 675,1.63%,1.65%,2022–2026,675
CHF 475,2.13%,2.15%,2022–2030,474
CHF 350,2.50%,2.46%,2022–2034,351
CHF 360,1.63%,1.67%,2022–2025,360
CHF 260,2.63%,2.57%,2022–2035,261
CHF 310,2.25%,2.18%,2022–2029,311
CHF 300,1.88%,1.87%,2023–2029,301
CHF 450,2.00%,2.01%,2023–2033,450
CHF 400,2.13%,2.06%,2023–2038,403
CHF 155,1.63%,1.65%,2023–2027,155
CHF 215,1.88%,1.83%,2023–2031,216
CHF 210,2.00%,2.01%,2023–2036,210
CHF 200,1.38%,1.41%,2024–2028,200
CHF 225,1.50%,1.51%,2024–2031,225
CHF 480,1.63%,1.60%,2024–2034,481
CHF 330,1.75%,1.72%,2024–2040,331
,,,,6 005
