gnidart_b_tfiorp_tfiorp_gniylrednu_gnitarepo_gnitarepo_a_gnidart_selas,none,none_1,c_dna_sesnepxe_emocni_stsoc_gnidart_tnalp_gnirutcurtser_tnemriapmi_ytreporp_tnempiuqe_rehto_hcihw_hcihw_ten_fo_fo_fo,none_2,none_3,none_4
25 336,5 640,5 588,-52,-21,-40,-774
18 910,3 192,2 895,-297,-88,-133,-834
16 793,3 916,3 777,-139,-70,-46,-490
11 933,2 429,2 278,-151,-39,-28,-424
4 973,803,770,-33,-4,-27,-145
6 739,943,794,-149,-23,-17,-322
6 378,1 278,1 081,-197,-180,-2,-283
292,-13,-24,-11,-8,—,-34
—,(2 484),(2 526),-42,-3,-18,-276
91 354,15 704,14 633,(1 071),-436,-311,(3 582)
