land_and_buildings,machinery_and_equipment,tools_furniture_and_other_equipment,vehicles,assets_under_construction_and_advance_payments,none
,,,,,
8 995,9 632,1 681,116,7 464,27 888
488,999,478,95,3 424,5 484
33,25,8,—,6,72
1 283,2 202,272,48,(3 805),—
-450,(1 367),-604,-29,—,(2 450)
-92,-262,-35,2,—,-387
-11,-43,-16,-25,-4,-99
-44,-35,-4,—,-5,-88
437,-49,72,6,197,663
10 639,11 102,1 852,213,7 277,31 083
17 240,29 650,6 880,380,7 277,61 427
(6 601),(18 548),(5 028),-167,—,(30 344)
,,,,,
,,,,,
9 043,10 169,1 699,102,6 527,27 540
355,700,451,61,4 108,5 675
7,8,3,—,6,24
895,1 378,290,8,(2 571),—
-423,(1 322),-586,-20,—,(2 351)
-136,-319,-35,—,—,-490
-16,-30,-15,-7,-1,-69
-59,-85,4,—,-2,-142
-671,-867,-130,-28,-603,(2 299)
8 995,9 632,1 681,116,7 464,27 888
15 053,26 623,6 442,287,7 464,55 869
(6 058),(16 991),(4 761),-171,—,(27 981)
