lliwdoog,sthgir_dna_lautcelletni_ytreporp_sdnarb,gnitarepo_srehto_sthgir_dna,tnemeganam_noitamrofni_smetsys,elbignatni_stessa_latot
,,,,
28 693,11 900,5 455,870,18 225
—,6,4,315,325
701,130,157,2,289
—,-42,-112,-318,-472
—,-121,-18,-5,-144
—,—,-1,—,-1
-27,-21,-3,—,-24
1 228,930,115,2,1 047
30 595,12 782,5 597,866,19 245
—,12 454,4 292,—,16 746
—,21,2,—,23
,,,,
,,,,
34 119,14 740,6 466,5 578,26 784
(3 524),(1 958),-869,(4 712),(7 539)
,,,,
,,,,
31 262,13 278,5 997,962,20 237
—,99,119,271,489
120,5,14,—,19
—,-41,-106,-318,-465
—,-107,-46,-4,-157
—,—,—,—,—
-49,-182,—,—,-182
(2 640),(1 152),-523,-41,(1 716)
28 693,11 900,5 455,870,18 225
—,11 705,4 027,—,15 732
—,33,14,—,47
,,,,
,,,,
32 070,13 616,6 221,5 232,25 069
(3 377),(1 716),-766,(4 362),(6 844)
