2024,none,none_1,none_2,none_3
"tnemyolpme-tsoP stfieneb
snalp stfieneb
tfieneb
tnemeriter rehto
denfieD lacidem
latoT
dna",,,,
17 797,1 052,18 849,17 584,1 263
17 063,342,17 405,16 819,64
734,710,1 444,765,1 199
378,2,380,-663,-88
340,23,363,297,47
339,25,364,296,25
1,-2,-1,1,22
577,64,641,653,78
152,-2,150,1 365,22
110,—,110,109,—
(1 194),-34,(1 228),(1 464),-99
-94,-84,-178,-75,-170
-1,—,-1,-8,-1
-4,—,-4,-1,—
18 061,1 021,19 082,17 797,1 052
17 321,350,17 671,17 063,342
740,671,1 411,734,710
