14_296,3_009,1_047,703,27,19_082
,,,,,
13 435,2 880,1 011,675.0,27.0,18 028
15 263,3 146,1 084,734.0,28.0,20 255
,,,,,
14 358,3 034,1 069,706.0,28.0,19 195
14 240,2 986,1 025,700.0,27.0,18 978
,,,,,
14 929,3 032,1 065,711.0,28.0,19 765
14 091,3 009,1 029,697.0,27.0,18 853
,,,,,
14 298,3 014,1 047,711.0,28.0,19 098
14 296,3 004,1 045,696.0,27.0,19 068
,,,,,
13 824,2 974,1 032,688.0,27.0,18 545
14 772,3 044,1 058,718.0,28.0,19 620
,,,,,
13 946,3 011,1 042,823.0,27.0,18 849
,,,,,
13 100,2 875,1 006,786.0,26.0,17 793
14 889,3 161,1 077,862.0,28.0,20 017
,,,,,
14 000,3 037,1 061,825.0,28.0,18 951
13 895,2 986,1 021,820.0,26.0,18 748
,,,,,
14 541,3 036,1 061,831.0,27.0,19 496
13 714,3 011,1 021,816.0,27.0,18 589
,,,,,
13 947,3 016,1 042,834.0,27.0,18 866
13 946,3 006,1 039,813.0,27.0,18 831
,,,,,
13 478,2 973,1 027,803.0,27.0,18 308
14 419,3 049,1 054,841.0,27.0,19 390
