2024,none,none_1,none_2,none_3,none_4,none_5
")a( tnemetats evisneherpmoc
tsoc
ot
dezitroma
eulav eulav
emocni seirogetac
emocni
riaf riaf rehto latoT
tA tA ot tA",,,,,,
2 055,—,—,2 055,2 315,—,—
2 548,—,—,2 548,2 201,—,—
1 518,—,—,1 518,923,—,—
—,1 916,2,1 918,43,778,1
—,426,823,1 249,—,303,389
1 586,647,—,2 233,1 249,596,—
7 707,2 989,825,11 521,6 731,1 677,390
11 251,—,—,11 251,10 995,—,—
—,876,—,876,—,408,—
18 958,3 865,825,23 648,17 726,2 085,390
,,,,,,
(22 029),—,—,(22 029),(19 312),—,—
(63 560),—,—,(63 560),(55 241),—,—
—,-715,—,-715,—,-556,—
(85 589),-715,—,(86 304),(74 553),-556,—
,,,,,,
(66 631),3 150,825,(62 656),(56 827),1 529,390
—,3 150,825,3 975,—,1 529,390
