chf_900,0_25,0_26,2018_2024,,_1
CHF 600,0.75%,0.69%,2018–2028,,601
CHF 675,1.63%,1.65%,2022–2026,,675
CHF 475,2.13%,2.15%,2022–2030,,474
CHF 350,2.50%,2.46%,2022–2034,,351
CHF 360,1.63%,1.67%,2022–2025,,360
CHF 260,2.63%,2.57%,2022–2035,,261
CHF 310,2.25%,2.18%,2022–2029,,311
CHF 300,1.88%,1.87%,2023–2029,,301
CHF 450,2.00%,2.01%,2023–2033,,450
CHF 400,2.13%,2.06%,2023–2038,,403
CHF 155,1.63%,1.65%,2023–2027,,155
CHF 215,1.88%,1.83%,2023–2031,,216
CHF 210,2.00%,2.01%,2023–2036,,210
CHF 200,1.38%,1.41%,2024–2028,,200
CHF 225,1.50%,1.51%,2024–2031,,225
CHF 480,1.63%,1.60%,2024–2034,,481
CHF 330,1.75%,1.72%,2024–2040,,331
USD 600,4.65%,4.74%,2024–2029,,540
USD 450,4.75%,4.84%,2024–2031,,405
USD 800,4.88%,4.92%,2024–2034,,721
USD 650,5.10%,5.16%,2024–2054,,582
GBP 400,4.50%,4.64%,2024–2029,(a),451
GBP 400,4.75%,4.80%,2024–2036,(a),452
AUD 600,4.60%,4.70%,2024–2029,(a),336
AUD 600,5.25%,5.33%,2024–2034,(a),335
USD 175,5.35%,5.37%,2024–2034,,158
USD 175,5.26%,5.29%,2024–2031,,158
USD 100,4.22%,4.50%,2024-2029,,89
EUR 850,0.88%,0.92%,2017–2025,(a),800
CHF 550,0.25%,0.24%,2017–2027,(a),550
CHF 150,0.55%,0.54%,2017–2032,(a),150
USD 900,3.50%,3.59%,2018–2025,(b),813
USD 1 250,3.63%,3.72%,2018–2028,(b),1 126
USD 1 250,3.90%,4.01%,2018–2038,(b),1 116
USD 2 100,4.00%,4.11%,2018–2048,(b),1 865
USD 1 150,0.38%,0.49%,2020–2024,(b),—
USD 750,0.63%,0.77%,2020–2026,(b),677
USD 1 100,1.00%,1.06%,2020–2027,(b),992
USD 1 000,1.25%,1.37%,2020–2030,(b),898
,,,,,19 219
