0,1
Proposal No.4:,
Approval of our Second Amended and Restated,
2021 Employee Stock Purchase Plan,39
Proposal No.5:,
Advisory Approval of our Named Executive Officers’,
Compensation,48
Security Ownership of Certain Beneficial,
Owners and Management,49
Certain Relationships and Related Transactions,51
Equity Compensation Plan Information,51
Executive Compensation,52
Compensation and Human Capital Management,
Committee Report,62
Compensation and Human Capital Management,
Committee Interlocks and Insider Participation,62
Summary Compensation Table,63
Grants of Plan-Based Awards in Fiscal Year 2024,64
"Outstanding Equity Awards as of December 31,",
2024,65
Option Exercises and Stock Vested in 2024,66
2024 CEO Pay Ratio Disclosure,70
Pay Versus Performance Disclosure,71
Director Compensation,75
General Information,77
Note About Forward-Looking Statements,83
Appendix A:,
"PDF Solutions, Inc.’s Tenth Amended and Restated",
2011 Stock Incentive Plan,84
Appendix B:,
"PDF Solutions, Inc.’s Second Amended and",
Restated 2021 Employee Stock Purchase Plan,100
